,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
198,3.04.02,Despesas de Pessoal,,,,-16.100.780,-17.775.163,-14.100.151
199,3.04.03,Outras Despesas Administrativas,,,,-15.723.043,-15.363.115,-14.518.644
200,3.04.04,Despesas Tributárias,,,,-3.381.848,-3.451.245,-3.827.074
201,3.04.05,Outras Receitas Operacionais,,,,2.768.280,5.044.127,1.908.360
202,3.04.06,Outras Despesas Operacionais,,,,-8.788.816,-8.803.507,-8.948.749
203,3.04.07,Resultado da Equivalência Patrimonial,,,,22.595.929,13.352.076,3.856.885
204,3.05,Resultado Operacional,,,,17.856.958,13.114.228,21.536.028
205,3.06,Resultado Não Operacional,,,,-863.130,-669.629,-838.262
206,3.06.01,Receitas,,,,521.145,516.476,278.972
207,3.06.02,Despesas,,,,-1.384.275,-1.186.105,-1.117.234
208,3.07,Resultado Antes Tributação/Participações,,,,16.993.828,12.444.599,20.697.766
209,3.08,Provisão para IR e Contribuição Social,,,,2.091.125,2.213.156,-5.614.188
210,3.09,IR Diferido,,,,,,
211,3.10,Participações/Contribuições Estatutárias,,,,,,
212,3.10.01,Participações,,,,,,
213,3.10.02,Contribuições,,,,,,
214,3.11,Reversão dos Juros sobre Capital Próprio,,,,,,
215,3.13,Lucro/Prejuízo do Período,,,,19.084.953,14.657.755,15.083.578
216,3.99,Lucro por Ação - (R$ / Ação),,,,285123,240881,272666
